datetime,ticker,open,high,low,close,volume
2015-12-07 11:46:00,AFLT,57.41,57.41,57.41,57.41,3600
2015-12-07 11:47:00,AFLT,57.42,57.42,57.35,57.37,15000
2015-12-07 11:48:00,AFLT,57.37,57.37,57.37,57.37,100
2015-12-07 11:49:00,AFLT,57.4,57.68,57.37,57.45,4300
2015-12-07 11:50:00,AFLT,57.48,57.5,57.48,57.5,2800
2015-12-07 11:51:00,AFLT,57.52,57.53,57.52,57.52,5100
2015-12-07 11:52:00,AFLT,57.47,57.47,57.47,57.47,3000
2015-12-07 11:53:00,AFLT,57.47,57.47,57.03,57.4,18000
2015-12-07 11:54:00,AFLT,57.42,57.5,57.42,57.47,6800
2015-12-07 11:55:00,AFLT,57.42,57.42,57.3,57.33,6800
2015-12-07 11:56:00,AFLT,57.28,57.4,57.2,57.4,74800
2015-12-07 11:57:00,AFLT,57.36,57.36,57.33,57.33,7200
2015-12-07 11:58:00,AFLT,57.32,57.33,57.3,57.3,4000
2015-12-07 11:59:00,AFLT,57.33,57.33,57.29,57.29,1200
2015-12-07 12:00:00,AFLT,57.26,57.26,57.26,57.26,100
2015-12-07 12:01:00,AFLT,57.38,57.4,57.18,57.21,53600
2015-12-07 12:02:00,AFLT,57.23,57.36,57.23,57.33,28400
2015-12-07 12:03:00,AFLT,57.34,57.38,57.34,57.38,6000
2015-12-07 12:04:00,AFLT,57.38,57.38,57.38,57.38,0
2015-12-07 12:05:00,AFLT,57.39,57.4,57.39,57.4,1800
2015-12-07 12:06:00,AFLT,57.4,57.44,57.3,57.3,59800
2015-12-07 12:07:00,AFLT,57.3,57.3,57.3,57.3,0
2015-12-07 12:08:00,AFLT,57.4,57.4,57.39,57.39,4000
2015-12-07 12:09:00,AFLT,57.39,57.39,57.39,57.39,0
2015-12-07 12:10:00,AFLT,57.33,57.38,57.3,57.38,8000
2015-12-07 12:11:00,AFLT,57.38,57.38,57.38,57.38,0
2015-12-07 12:12:00,AFLT,57.38,57.38,57.38,57.38,200
2015-12-07 12:13:00,AFLT,57.38,57.38,57.38,57.38,0
2015-12-07 12:14:00,AFLT,57.35,57.37,57.35,57.37,8400
2015-12-07 12:15:00,AFLT,57.33,57.33,57.32,57.33,15600
2015-12-07 12:16:00,AFLT,57.31,57.32,57.27,57.27,32200
2015-12-07 12:17:00,AFLT,57.28,57.28,57.25,57.28,7400
2015-12-07 12:18:00,AFLT,57.3,57.55,57.2,57.27,44200
2015-12-07 12:19:00,AFLT,57.27,57.27,57.27,57.27,200
2015-12-07 12:20:00,AFLT,57.28,57.31,56.97,57.31,4700
2015-12-07 12:21:00,AFLT,57.3,57.35,57.21,57.33,16200
2015-12-07 12:22:00,AFLT,57.32,57.32,57.21,57.22,70500
2015-12-07 12:23:00,AFLT,57.22,57.22,57.15,57.15,13400
2015-12-07 12:24:00,AFLT,57.15,57.15,57.15,57.15,800
2015-12-07 12:25:00,AFLT,57.15,57.19,57.0,57.03,141400
2015-12-07 12:26:00,AFLT,57.02,57.05,56.5,57.05,23900
2015-12-07 12:27:00,AFLT,57.14,57.16,57.14,57.16,6600
2015-12-07 12:28:00,AFLT,57.11,57.43,57.0,57.09,52200
2015-12-07 12:29:00,AFLT,57.13,57.16,57.1,57.1,14000
2015-12-07 12:30:00,AFLT,57.1,57.11,57.0,57.0,62600
2015-12-07 12:31:00,AFLT,57.07,57.07,57.05,57.07,3500
2015-12-07 12:32:00,AFLT,57.07,57.07,56.94,57.0,16400
2015-12-07 12:33:00,AFLT,56.98,57.01,56.96,57.01,6000
2015-12-07 12:34:00,AFLT,57.01,57.01,56.78,57.0,12200
2015-12-07 12:35:00,AFLT,57.0,57.09,57.0,57.03,21000
2015-12-07 12:36:00,AFLT,57.06,57.06,57.02,57.02,2400
2015-12-07 12:37:00,AFLT,57.04,57.11,57.04,57.07,5200
2015-12-07 12:38:00,AFLT,57.07,57.16,57.0,57.08,76000
2015-12-07 12:39:00,AFLT,57.16,57.17,57.16,57.17,9400
2015-12-07 12:40:00,AFLT,57.17,57.17,57.17,57.17,0
2015-12-07 12:41:00,AFLT,57.17,57.2,57.17,57.2,5600
2015-12-07 12:42:00,AFLT,57.2,57.2,57.2,57.2,0
2015-12-07 12:43:00,AFLT,57.27,57.27,57.2,57.27,50100
2015-12-07 12:44:00,AFLT,57.27,57.27,57.2,57.2,2200
2015-12-07 12:45:00,AFLT,57.28,57.29,57.26,57.29,6400
2015-12-07 12:46:00,AFLT,57.27,57.27,56.9,57.27,5200
2015-12-07 12:47:00,AFLT,57.27,57.27,57.27,57.27,0
2015-12-07 12:48:00,AFLT,57.24,57.24,57.24,57.24,3400
2015-12-07 12:49:00,AFLT,57.24,57.28,57.24,57.28,4400
2015-12-07 12:50:00,AFLT,57.28,57.28,57.28,57.28,0
2015-12-07 12:51:00,AFLT,57.28,57.28,57.28,57.28,3600
2015-12-07 12:52:00,AFLT,57.28,57.28,57.28,57.28,0
2015-12-07 12:53:00,AFLT,57.28,57.28,57.28,57.28,5700
2015-12-07 12:54:00,AFLT,57.28,57.28,57.28,57.28,0
